id,title,description,tiny_description,short_description,medium_description,long_description,price,shelf_time,campus_id,last_update,archived,taxable,category_names,vendor,source,notes,total_cal,num_servings,ingredients,calories,proteins,sugar,carbohydrates,fat,consumer_category,ws_case_size,kiosk_ship_qty,pick_station,fc_title,width_space,height_space,depth_space,slotted_width,tag_volume,delivery_option,tag_applied_by,,,,,
2944,Ito En - Oi Ocha Green Tea,.,null,null,null,null,2.5,365,87,1524454848,0,0,Tea;Drinks,Ito En,Good Stuff,null,0,1,"purified water, green tea, ascorbic acid",9999,0,0,0,0,Drinks,12,1,2,Tea,null,null,null,null,1000,P,W,,,,,
2996,Shakti - Spinach Tofu Curry with Biryani,"basmati rice, water, spinach, beans (split garbanzo, mung, urd, toor lentils), onion, potato, carrots, begetable oil, soy, garlic, salt, spices",null,null,null,null,9.59,21,87,1522797353,1,0,Reheatable Entree;Entrees,Shakti,Fresh India Cuisine,null,999,1,"basmati rice, water, spinach, beans (split garbanzo, mung, urd, toor lentils), onion, potato, carrots, begetable oil, soy, garlic, salt, spices",510,19,8,71,18,Entrees,1,1,1,Entrees_Veg,7.25,4.75,2,4.75,200,P,W,,,,,
3127,Marin Kombucha - Ginger Lemongrass,.,null,null,null,null,4.09,180,87,1524454849,0,0,Kombucha;Drinks,Marin Kombucha,Marin Kombucha,null,999,2,"kombucha culture, reverse osmosis purified water, organic cane sugar, organic tea blend and ginger lemongrass extract",30,0,2,7,0,Drinks,12,1,2,Probiotic Drink,2.75,6.5,2.75,2.75,1000,P,W,,,,,
3170,Rosemary Chicken Salad Sandwich,,null,null,null,null,5.79,7,87,1452463331,1,0,sandwich,,null,null,null,null,null,null,null,null,null,null,Sandwiches & Wraps,null,null,null,null,null,null,null,null,null,M,null,,,,,
3171,Project Juice Arugula Beet Quinoa Salad,"Antioxidant Salad with Roasted Beets, Qunioa and Arugula, topped with Candied Pecans, Pickled Onions and Pomegranate Vinaigrette",null,null,null,null,10.95,4,87,1478024845,1,0,Lettuce & Vegetable Salad;salads,Project Juice,Project Juice,null,999,1,"Roasted Beets, Qunioa, Arugula, Candied Pecans, Pickled Onion, Pomegranate Vinaigrette.",999,null,null,null,null,Soups & Salads,null,null,null,null,null,null,null,null,null,M,null,,,,,
3172,Shakti - 7 Veggie Curry with Biryani,"basmati rice, water, cauliflower, potato, bell peppers, green beans, mushrooms, peas, carrots, corn, onion, tomato, beans (split garbanzo, mung, urd, toor lentils), coconut milk, vegetable oil, soy, garlic, salt, spices, fresh mint, cilantro",null,null,null,null,9.59,21,87,1510290115,1,0,Reheatable Entree;Entrees,Shakti,Fresh India Cuisine,null,999,1,"basmati rice, water, cauliflower, potato, bell peppers, green beans, mushrooms, peas, carrots, corn, onion, tomato, beans (split garbanzo, mung, urd, toor lentils), coconut milk, vegetable oil, soy, garlic, salt, spices, fresh mint, cilantro",520,18,10,72,20,Entrees,1,1,1,Entrees_Veg,7.25,4.75,2,4.75,null,M,null,,,,,
3175,Chocolate Pot de Creme,"Organic Milk, Organic Cream, Dark Chocolate 70% ( Cocoa Beans, Cocoa Butter, Sugar, Soy Lecithin, Vanilla Extract), Egg Yolk, Organic Cane Sugar, Organic Cultured Non Fat Milk, Sea Salt.",null,null,null,null,3.6,14,87,1469044988,1,0,Sweet Snacks & Dessert / Snacks,Petit Pot,Natural Choice,null,null,null,null,null,null,null,null,null,Desserts,null,null,null,null,null,null,null,null,null,M,null,,,,,
3176,Hint Water - Blackberry,"Purified Water, Blackberry, and Other Natural Flavors From Non-GMO Plants",null,null,null,null,1.95,180,87,1478024870,1,0,Other Beverage / Drinks,UNFI,,null,0,0,null,0,null,null,null,null,Drinks,null,null,null,null,null,null,null,null,null,M,null,,,,,
3180,Chicken Bento with Veggies,,null,null,null,null,5.95,1,87,1453840123,1,0,entree,,null,null,null,null,null,null,null,null,null,null,Entrees,null,null,null,null,null,null,null,null,null,M,null,,,,,
3181,Project Juice Acai Chia Pudding,"House-Made Almond Mylk, Blueberries, Acai, Chia Seeds, Candied Walnuts, Maple Syrup, Vanilla *Gluten Free / Vegan / DairyFree / GrainFree",null,null,null,null,6.95,1,87,1463013545,1,0,snack,Project Juice,null,null,null,null,null,null,null,null,null,null,Snacks,null,null,null,null,null,null,null,null,null,M,null,,,,,
3182,Emily Kay's Artisinal Quiches,.,null,null,null,null,5.75,5,87,1453655921,1,0,entree;Reheatable Entree,Emily Kay,Emily Kay,null,999,1,null,999,null,null,null,null,Entrees,null,null,null,null,null,null,null,null,null,M,null,,,,,
3183,Chicken Bento with Veggies,,null,null,null,null,5.95,1,87,1453840133,1,0,entree,,null,null,null,null,null,null,null,null,null,null,Entrees,null,null,null,null,null,null,null,null,null,M,null,,,,,
